celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,elimination_week,relative_progress,placement_percentile,eliminated_in_multi_week,n_eliminated_same_week,is_finalist,n_zero_eliminate_weeks_experienced,n_multi_eliminate_weeks_experienced,avg_judge_score,std_judge_score,max_judge_score,score_trend,score_improvement,avg_judge_disagreement,performance_consistency
Jenn Tran,Sasha Farber,TV Personality,Florida,United States,26,33,7,6,0.6667,0.5385,0,1,0,1,2,0.104238125,0.521531298,1.18378431,0.095486646,0.520865096,0.225854989,0.36042778
Joey Graziadei,Jenna Johnson,TV Personality,Louisiana,United States,29,33,1,9,1,1,0,0,1,2,2,0.890213621,0.59803294,1.690308509,-0.06117005,-0.369789995,0.327920503,0.374799932
Corey Feldman,Jenna Johnson,Actor/Actress,California,United States,54,34,13,2,0.1818,0.1429,1,2,0,1,0,-1.704172621,0.510496963,-0.809039835,-0.70532147,-0.70532147,0.222727273,0.498737595
Danielle Fishel,Pasha Pashkov,Actor/Actress,California,United States,44,34,8,8,0.7273,0.5,0,1,0,2,1,-0.255979359,0.522828164,0.487950036,-0.015561176,-0.457950394,0.156867699,0.395950997
Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),Actor/Actress,Georgia,United States,55,34,5,11,1,0.7143,0,0,1,2,1,-0.181741734,0.647913722,1.086825967,-0.108857123,-1.20388494,0.107508485,0.585208677
Baron Davis,Britt Stewart,Athlete,California,United States,46,34,13,2,0.1818,0.1429,1,2,0,1,0,-0.779296799,0.027151553,-0.759468109,0.049571726,0.049571726,9.24E-33,0.035052504
Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),Athlete,Texas,United States,24,34,3,11,1,0.8571,0,0,1,2,1,0.438576887,0.679682946,1.69419809,-0.018656316,1.076301077,0.255464809,0.596444167
Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),Comedian,California,United States,59,34,7,9,0.8182,0.5714,0,1,0,2,1,-1.773968142,0.576433371,0.146868374,-0.061783218,-0.846272389,0.349986385,0.286148008
Robert Irwin,Witney Carson (Xoshitl Gomez week 9),Conservationist,,Australia,22,34,1,11,1,1,0,0,1,2,1,0.595866409,0.716498394,2.022599587,-0.039347234,-1.283398442,0.493960161,0.496226729
Hilaria Baldwin,Gleb Savchenko,Entrepreneur,New York,United States,41,34,11,4,0.3636,0.2857,0,1,0,1,1,0.453104446,0.600138544,1.146576418,-0.279671866,-0.862752674,0.317052519,0.397774489
Lauren Jauregui,Brandon Armstrong,Singer/Rapper,Florida,United States,29,34,12,3,0.2727,0.2143,0,1,0,1,1,-0.241708077,1.08683648,1.07871978,-1.061609827,-2.123219655,0.148484849,1.187643295
Scott Hoying,Rylee Arnold,Singer/Rapper,California,United States,34,34,10,6,0.5455,0.3571,0,1,0,2,1,-0.660666243,0.662857765,1.146576418,-0.086280189,-0.654810274,0.160611836,0.570314596
Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,34,2,11,1,0.9286,0,0,1,2,1,0.634520899,0.528209198,1.505153389,-0.003025825,0.328634471,0.247778004,0.329255775
Jen Affleck,Jan Ravnik,TV Personality,Utah,United States,26,34,9,7,0.6364,0.4286,0,1,0,2,1,-0.282652225,0.750727138,1.69419809,-0.160815959,-0.746308536,0.292777339,0.660854994
Whitney Leavitt,Mark Ballas,TV Personality,Utah,United States,32,34,6,10,0.9091,0.6429,0,1,0,2,1,0.915958182,0.682000852,2.116477643,-0.076787528,-1.212597981,0.562781778,0.366901951
Dylan Efron,Daniella Karagach (Rumer Willis week 9),TV Personality,California,United States,33,34,4,11,1,0.7857,0,0,1,2,1,0.112301849,0.865694884,1.242447484,-0.035395364,0.408147972,0.422622537,0.719533749
